,Customer Age,Customer Gender,Product Purchased,Ticket Subject,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
555,44,Male,Google Pixel,Installation support,5.0,1392,High
558,42,Male,Nikon D,Peripheral compatibility,3.0,1861,Medium
561,44,Male,LG OLED,Network problem,3.0,1907,Medium
564,20,Female,Sony Xperia,Cancellation request,5.0,1747,High
567,46,Female,Canon EOS,Peripheral compatibility,1.0,1406,Low
568,44,Female,Samsung Galaxy,Network problem,4.0,1686,High
574,25,Female,Adobe Photoshop,Network problem,2.0,1552,Low
575,32,Female,Sony 4K HDR TV,Data loss,4.0,1534,High
576,66,Other,Apple AirPods,Account access,1.0,1699,Low
580,27,Other,Samsung Galaxy,Software bug,2.0,1794,Low
585,24,Male,Microsoft Office,Product setup,2.0,1951,Low
587,52,Male,LG OLED,Product recommendation,2.0,2021,Low
589,44,Female,PlayStation,Data loss,5.0,1991,High
596,68,Male,LG Smart TV,Data loss,3.0,2005,Medium
597,37,Male,Garmin Forerunner,Cancellation request,4.0,2007,High
598,45,Male,GoPro Action Camera,Account access,2.0,1477,Low
600,64,Other,Canon DSLR Camera,Installation support,4.0,1569,High
603,48,Other,Lenovo ThinkPad,Refund request,5.0,1943,High
604,27,Other,Google Pixel,Installation support,3.0,1374,Medium
611,19,Female,MacBook Pro,Network problem,4.0,1343,High
619,59,Female,Amazon Kindle,Refund request,4.0,1542,High
620,46,Female,Canon EOS,Hardware issue,5.0,2024,High
621,39,Other,Sony 4K HDR TV,Account access,2.0,1724,Low
627,19,Other,Canon EOS,Hardware issue,2.0,1515,Low
635,53,Male,Canon DSLR Camera,Data loss,3.0,1436,Medium
640,67,Male,LG Smart TV,Hardware issue,1.0,1560,Low
642,31,Male,Samsung Galaxy,Display issue,2.0,1590,Low
643,53,Female,Microsoft Surface,Network problem,5.0,1840,High
644,67,Male,MacBook Pro,Refund request,1.0,1981,Low
648,52,Female,PlayStation,Cancellation request,3.0,1972,Medium
654,43,Other,Nest Thermostat,Software bug,1.0,1681,Low
656,55,Female,Sony PlayStation,Product recommendation,1.0,1573,Low
657,57,Other,Nintendo Switch Pro Controller,Cancellation request,2.0,1497,Low
662,26,Female,Amazon Echo,Data loss,4.0,1319,High
664,39,Female,Sony Xperia,Product setup,3.0,1796,Medium
665,64,Female,Xbox,Installation support,2.0,1768,Low
670,63,Other,Sony Xperia,Delivery problem,5.0,1777,High
673,28,Female,Nintendo Switch,Software bug,1.0,1438,Low
678,20,Other,Garmin Forerunner,Refund request,3.0,1320,Medium
679,53,Male,Nikon D,Display issue,5.0,1675,High
683,68,Other,Sony PlayStation,Product setup,3.0,2037,Medium
684,39,Other,Canon EOS,Data loss,3.0,1907,Medium
688,28,Female,Sony 4K HDR TV,Peripheral compatibility,2.0,1674,Low
690,68,Other,Canon DSLR Camera,Display issue,4.0,2043,High
691,41,Other,Canon EOS,Software bug,1.0,1721,Low
697,22,Male,Bose QuietComfort,Refund request,5.0,1928,High
699,22,Female,Autodesk AutoCAD,Peripheral compatibility,1.0,1960,Low
701,63,Other,Sony Xperia,Delivery problem,5.0,1497,High
703,37,Other,Fitbit Charge,Refund request,2.0,1744,Low
704,69,Male,Dell XPS,Hardware issue,3.0,1948,Medium
707,58,Male,Nest Thermostat,Payment issue,5.0,1378,High
711,26,Other,Fitbit Versa Smartwatch,Delivery problem,2.0,1682,Low
712,70,Other,LG Washing Machine,Product recommendation,1.0,1409,Low
714,37,Female,MacBook Pro,Data loss,5.0,1548,High
717,30,Female,Nintendo Switch Pro Controller,Peripheral compatibility,2.0,1736,Low
720,68,Other,Adobe Photoshop,Installation support,1.0,1695,Low
722,50,Male,Dell XPS,Battery life,1.0,1793,Low
728,29,Other,LG Washing Machine,Delivery problem,2.0,1611,Low
729,50,Female,GoPro Action Camera,Hardware issue,4.0,1910,High
733,49,Other,Nintendo Switch Pro Controller,Peripheral compatibility,4.0,1488,High
734,62,Female,Bose QuietComfort,Product recommendation,2.0,2007,Low
735,36,Male,Google Nest,Hardware issue,1.0,1988,Low
740,45,Male,Sony Xperia,Peripheral compatibility,1.0,1882,Low
743,67,Male,Google Nest,Refund request,4.0,1829,High
746,37,Male,Nintendo Switch Pro Controller,Peripheral compatibility,3.0,2011,Medium
748,47,Other,Microsoft Xbox Controller,Network problem,2.0,1644,Low
752,51,Other,Xbox,Product compatibility,5.0,1513,High
754,37,Female,Roomba Robot Vacuum,Payment issue,4.0,1874,High
755,26,Other,Philips Hue Lights,Installation support,2.0,1765,Low
760,47,Female,Samsung Soundbar,Product setup,1.0,1489,Low
763,25,Female,Sony PlayStation,Cancellation request,5.0,1905,High
764,37,Female,LG Smart TV,Product recommendation,1.0,1443,Low
765,22,Other,iPhone,Payment issue,5.0,1794,High
769,29,Female,Dell XPS,Hardware issue,4.0,1832,High
772,49,Male,iPhone,Account access,5.0,1874,High
776,27,Female,Canon DSLR Camera,Product compatibility,5.0,1882,High
780,19,Female,Sony PlayStation,Display issue,4.0,1795,High
786,35,Other,Bose SoundLink Speaker,Product recommendation,1.0,1824,Low
790,30,Other,LG OLED,Product recommendation,4.0,1665,High
791,21,Female,Fitbit Versa Smartwatch,Software bug,3.0,1945,Medium
795,46,Male,Roomba Robot Vacuum,Product recommendation,1.0,1432,Low
798,57,Male,Google Pixel,Peripheral compatibility,3.0,1418,Medium
806,28,Female,Sony 4K HDR TV,Peripheral compatibility,2.0,2013,Low
809,41,Female,Nikon D,Product setup,4.0,1985,High
815,27,Other,Nintendo Switch Pro Controller,Hardware issue,4.0,1578,High
818,23,Female,LG Smart TV,Product recommendation,3.0,1703,Medium
821,29,Female,Lenovo ThinkPad,Hardware issue,3.0,1479,Medium
827,19,Female,Garmin Forerunner,Software bug,4.0,1578,High
834,21,Male,GoPro Hero,Hardware issue,4.0,1622,High
838,27,Female,Canon DSLR Camera,Network problem,3.0,1547,Medium
840,70,Other,Nintendo Switch Pro Controller,Product compatibility,5.0,1647,High
846,49,Female,Autodesk AutoCAD,Product compatibility,4.0,2023,High
850,53,Female,Fitbit Versa Smartwatch,Display issue,1.0,2027,Low
852,29,Female,Sony 4K HDR TV,Display issue,5.0,1403,High
854,69,Female,Nest Thermostat,Battery life,3.0,1731,Medium
855,67,Female,iPhone,Installation support,2.0,1365,Low
857,52,Other,Roomba Robot Vacuum,Payment issue,5.0,1799,High
861,25,Other,GoPro Hero,Display issue,3.0,2035,Medium
862,23,Other,Nest Thermostat,Account access,2.0,1661,Low
863,26,Female,Canon EOS,Product compatibility,1.0,1382,Low
865,30,Female,Asus ROG,Refund request,5.0,1975,High
866,33,Male,Canon DSLR Camera,Hardware issue,3.0,1915,Medium
875,48,Female,Bose QuietComfort,Product recommendation,3.0,1634,Medium
876,45,Other,Adobe Photoshop,Payment issue,5.0,1665,High
880,19,Female,Apple AirPods,Data loss,2.0,1686,Low
883,21,Male,Sony 4K HDR TV,Product recommendation,4.0,1778,High
887,18,Female,Bose SoundLink Speaker,Peripheral compatibility,5.0,1348,High
889,37,Female,Sony Xperia,Product setup,2.0,1619,Low
892,33,Female,LG Washing Machine,Software bug,4.0,1750,High
894,35,Other,Microsoft Surface,Product setup,2.0,1956,Low
895,69,Female,Sony Xperia,Cancellation request,5.0,1698,High
896,30,Other,Google Nest,Data loss,5.0,1434,High
897,32,Male,Bose QuietComfort,Network problem,4.0,1375,High
903,29,Female,Nest Thermostat,Account access,3.0,1387,Medium
907,54,Male,Bose SoundLink Speaker,Hardware issue,2.0,1893,Low
911,25,Female,Garmin Forerunner,Network problem,2.0,1579,Low
913,29,Other,Nest Thermostat,Battery life,4.0,2029,High
917,34,Female,Garmin Forerunner,Display issue,2.0,1727,Low
919,48,Female,Asus ROG,Peripheral compatibility,4.0,1959,High
922,43,Male,Asus ROG,Delivery problem,3.0,1945,Medium
926,47,Female,Autodesk AutoCAD,Payment issue,4.0,1822,High
929,46,Female,Samsung Galaxy,Hardware issue,1.0,1952,Low
933,60,Male,LG OLED,Hardware issue,1.0,1631,Low
937,58,Male,Philips Hue Lights,Product compatibility,5.0,2000,High
938,53,Female,Microsoft Surface,Peripheral compatibility,3.0,1564,Medium
939,41,Male,Google Nest,Delivery problem,2.0,1696,Low
944,63,Male,Philips Hue Lights,Account access,5.0,1954,High
949,50,Other,Nest Thermostat,Payment issue,4.0,1630,High
950,64,Other,Microsoft Surface,Network problem,3.0,1454,Medium
953,24,Other,Adobe Photoshop,Display issue,5.0,1616,High
954,30,Female,LG OLED,Product recommendation,3.0,1788,Medium
955,20,Female,Bose SoundLink Speaker,Hardware issue,5.0,1680,High
956,64,Other,Sony Xperia,Network problem,1.0,1604,Low
959,65,Other,Asus ROG,Battery life,1.0,1714,Low
963,33,Female,Asus ROG,Hardware issue,5.0,1453,High
964,36,Other,Bose SoundLink Speaker,Battery life,5.0,1875,High
973,66,Other,iPhone,Payment issue,3.0,1577,Medium
980,36,Female,Samsung Soundbar,Delivery problem,3.0,1722,Medium
986,21,Male,Microsoft Office,Product compatibility,4.0,1541,High
993,57,Other,iPhone,Display issue,1.0,1540,Low
997,43,Male,Apple AirPods,Payment issue,4.0,1638,High
999,68,Male,GoPro Action Camera,Account access,5.0,1922,High
1004,67,Other,Bose QuietComfort,Refund request,3.0,1797,Medium
1006,20,Male,Amazon Kindle,Network problem,4.0,1674,High
1008,62,Male,iPhone,Refund request,3.0,1373,Medium
1009,51,Other,PlayStation,Product compatibility,2.0,2010,Low
1010,38,Male,Microsoft Office,Installation support,5.0,1860,High
1012,64,Other,Microsoft Surface,Payment issue,4.0,1484,High
1015,59,Other,Samsung Galaxy,Account access,1.0,1345,Low
1017,48,Other,Fitbit Versa Smartwatch,Refund request,2.0,1865,Low
1019,39,Other,Bose QuietComfort,Hardware issue,2.0,1773,Low
1021,29,Other,iPhone,Network problem,5.0,1672,High
1029,60,Other,Microsoft Surface,Display issue,1.0,1546,Low
1030,67,Female,Sony Xperia,Payment issue,1.0,1867,Low
1032,44,Female,Sony PlayStation,Installation support,5.0,1568,High
1034,31,Female,Bose SoundLink Speaker,Software bug,4.0,1787,High
1037,47,Other,Nikon D,Delivery problem,5.0,1732,High
1039,56,Female,Bose QuietComfort,Battery life,2.0,1929,Low
1040,69,Female,GoPro Action Camera,Delivery problem,1.0,1559,Low
1042,64,Male,LG Smart TV,Product recommendation,4.0,1850,High
1045,53,Male,Nikon D,Delivery problem,2.0,1589,Low
1047,42,Male,Microsoft Surface,Product compatibility,4.0,1392,High
1048,57,Other,MacBook Pro,Cancellation request,2.0,1619,Low
1060,52,Female,Microsoft Xbox Controller,Display issue,3.0,1536,Medium
1062,64,Other,Nintendo Switch,Network problem,4.0,1388,High
1063,66,Male,Sony PlayStation,Network problem,2.0,1933,Low
1067,67,Female,GoPro Hero,Display issue,5.0,1668,High
1068,49,Male,Lenovo ThinkPad,Software bug,4.0,1880,High
1069,41,Female,Samsung Soundbar,Cancellation request,4.0,1533,High
1071,52,Male,Microsoft Xbox Controller,Product recommendation,5.0,1735,High
1072,34,Other,Microsoft Office,Product compatibility,1.0,1328,Low
1073,20,Other,Amazon Kindle,Data loss,2.0,1370,Low
1089,40,Female,LG Washing Machine,Display issue,3.0,1870,Medium
1091,44,Female,PlayStation,Cancellation request,3.0,1832,Medium
1094,37,Other,LG OLED,Peripheral compatibility,2.0,1348,Low
1101,67,Female,iPhone,Software bug,4.0,1329,High
1104,19,Other,Philips Hue Lights,Battery life,5.0,1826,High
1109,36,Male,Nest Thermostat,Account access,1.0,1871,Low
1110,41,Other,Google Nest,Hardware issue,4.0,1549,High
1113,25,Female,Dyson Vacuum Cleaner,Payment issue,4.0,1702,High
1117,33,Female,Google Nest,Refund request,5.0,1703,High
1124,21,Female,Canon DSLR Camera,Software bug,5.0,1403,High
1126,23,Other,Nintendo Switch Pro Controller,Product setup,4.0,1607,High
1129,62,Other,Dell XPS,Battery life,1.0,1644,Low
1135,36,Male,LG Smart TV,Software bug,2.0,1882,Low
1142,43,Female,Xbox,Delivery problem,2.0,1943,Low
1145,43,Other,Microsoft Office,Payment issue,4.0,1701,High
1150,49,Other,Samsung Soundbar,Network problem,2.0,1619,Low
1153,21,Male,Bose SoundLink Speaker,Product setup,2.0,1875,Low
1157,21,Male,Garmin Forerunner,Network problem,2.0,1574,Low
1164,18,Female,Xbox,Hardware issue,5.0,1904,High
1165,53,Female,LG Washing Machine,Display issue,5.0,1779,High
1166,25,Other,Sony 4K HDR TV,Product recommendation,5.0,1566,High
1168,68,Female,Fitbit Versa Smartwatch,Data loss,4.0,1924,High
1171,66,Female,Amazon Echo,Network problem,2.0,1869,Low
1174,25,Male,GoPro Action Camera,Product recommendation,1.0,1951,Low
1177,39,Male,Nintendo Switch,Network problem,4.0,1874,High
1182,42,Male,Sony PlayStation,Product setup,2.0,1637,Low
1183,38,Male,Microsoft Office,Product setup,5.0,1612,High
1185,54,Female,Xbox,Display issue,4.0,1625,High
1187,54,Female,Sony PlayStation,Network problem,5.0,1696,High
1188,21,Male,Canon EOS,Product recommendation,3.0,1880,Medium
1189,49,Female,Autodesk AutoCAD,Account access,5.0,1882,High
1190,38,Male,GoPro Hero,Installation support,2.0,1704,Low
1193,35,Female,iPhone,Payment issue,4.0,1812,High
1198,54,Other,Dyson Vacuum Cleaner,Display issue,5.0,1341,High
1205,27,Female,Fitbit Charge,Delivery problem,5.0,1663,High
1207,52,Female,LG Smart TV,Installation support,5.0,1808,High
1208,31,Other,Amazon Kindle,Payment issue,3.0,1861,Medium
1212,65,Male,GoPro Hero,Installation support,4.0,1422,High
1216,24,Other,LG Washing Machine,Product compatibility,5.0,1608,High
1217,30,Female,iPhone,Payment issue,5.0,1785,High
1223,58,Other,Apple AirPods,Software bug,5.0,1783,High
1228,58,Other,Sony 4K HDR TV,Hardware issue,4.0,1475,High
1231,66,Other,Adobe Photoshop,Data loss,1.0,2034,Low
1239,19,Other,Bose SoundLink Speaker,Network problem,1.0,1989,Low
1242,50,Female,HP Pavilion,Battery life,5.0,1846,High
1247,38,Female,Nintendo Switch,Data loss,1.0,1453,Low
1249,40,Male,LG Washing Machine,Product recommendation,3.0,1646,Medium
1255,38,Other,GoPro Hero,Installation support,2.0,1757,Low
1256,56,Other,Google Pixel,Account access,5.0,1332,High
1264,35,Male,Sony 4K HDR TV,Installation support,5.0,1663,High
1265,62,Female,Microsoft Surface,Network problem,5.0,1436,High
1266,27,Other,Dyson Vacuum Cleaner,Network problem,5.0,1494,High
1269,62,Female,Canon EOS,Cancellation request,4.0,1706,High
1271,47,Male,LG Washing Machine,Display issue,1.0,1842,Low
1276,25,Male,Fitbit Versa Smartwatch,Data loss,2.0,1733,Low
1277,29,Female,Autodesk AutoCAD,Delivery problem,1.0,1711,Low
1278,48,Female,LG OLED,Product compatibility,4.0,1330,High
1280,53,Other,Dell XPS,Battery life,1.0,1494,Low
1282,48,Female,Google Nest,Product compatibility,1.0,1543,Low
1293,50,Other,Dell XPS,Hardware issue,2.0,1878,Low
1295,21,Male,Microsoft Office,Peripheral compatibility,5.0,1353,High
1296,66,Male,Amazon Echo,Software bug,2.0,2004,Low
1298,63,Female,Lenovo ThinkPad,Network problem,4.0,1960,High
1300,63,Male,Samsung Galaxy,Product setup,2.0,2032,Low
1305,66,Female,LG OLED,Peripheral compatibility,4.0,1854,High
1306,63,Other,MacBook Pro,Display issue,3.0,2018,Medium
1309,59,Male,Microsoft Office,Payment issue,5.0,1481,High
