,Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Channel,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
89,40,Male,Sony Xperia,Product inquiry,Product recommendation,Email,5.0,2016,High
95,60,Male,Autodesk AutoCAD,Product inquiry,Battery life,Chat,5.0,1405,High
98,38,Male,Samsung Galaxy,Billing inquiry,Refund request,Chat,5.0,1793,High
102,40,Female,Asus ROG,Refund request,Battery life,Email,3.0,1654,Medium
106,42,Female,Nintendo Switch,Cancellation request,Installation support,Email,2.0,1540,Low
108,33,Male,Dyson Vacuum Cleaner,Technical issue,Product setup,Chat,4.0,2038,High
110,60,Female,Amazon Echo,Cancellation request,Peripheral compatibility,Email,2.0,1471,Low
113,27,Other,Microsoft Office,Cancellation request,Payment issue,Email,1.0,1364,Low
114,28,Female,Sony 4K HDR TV,Cancellation request,Battery life,Email,1.0,1782,Low
116,20,Female,iPhone,Cancellation request,Software bug,Email,5.0,1349,High
117,18,Male,Google Nest,Billing inquiry,Product setup,Phone,5.0,1999,High
119,41,Female,Fitbit Charge,Billing inquiry,Software bug,Phone,2.0,1468,Low
128,49,Male,Adobe Photoshop,Cancellation request,Hardware issue,Email,3.0,1575,Medium
130,43,Male,Asus ROG,Billing inquiry,Product recommendation,Email,2.0,2002,Low
133,50,Male,Nintendo Switch,Refund request,Refund request,Phone,5.0,1512,High
134,66,Male,PlayStation,Cancellation request,Product setup,Email,2.0,1924,Low
137,21,Other,Amazon Echo,Technical issue,Network problem,Chat,4.0,1326,High
138,58,Male,Adobe Photoshop,Product inquiry,Product compatibility,Chat,2.0,1637,Low
140,47,Male,LG Washing Machine,Cancellation request,Product setup,Email,1.0,1551,Low
141,31,Other,Sony PlayStation,Technical issue,Software bug,Chat,2.0,1942,Low
147,22,Female,Apple AirPods,Billing inquiry,Product compatibility,Social media,3.0,1766,Medium
148,40,Other,LG Washing Machine,Refund request,Installation support,Chat,1.0,1383,Low
149,64,Female,Philips Hue Lights,Technical issue,Peripheral compatibility,Email,3.0,1603,Medium
150,29,Female,Google Pixel,Refund request,Product recommendation,Email,4.0,1758,High
161,29,Female,HP Pavilion,Refund request,Product setup,Phone,3.0,2040,Medium
162,30,Male,Bose SoundLink Speaker,Refund request,Payment issue,Phone,1.0,1384,Low
163,34,Male,Microsoft Office,Cancellation request,Product recommendation,Phone,3.0,1730,Medium
164,24,Male,HP Pavilion,Billing inquiry,Product setup,Social media,5.0,1539,High
166,32,Female,Xbox,Refund request,Battery life,Email,3.0,1952,Medium
167,41,Male,Garmin Forerunner,Technical issue,Delivery problem,Chat,3.0,2015,Medium
169,30,Male,Sony Xperia,Product inquiry,Network problem,Phone,1.0,1829,Low
170,44,Female,Microsoft Office,Billing inquiry,Product setup,Social media,4.0,1322,High
175,42,Other,PlayStation,Technical issue,Delivery problem,Email,4.0,1389,High
182,33,Female,Samsung Soundbar,Product inquiry,Delivery problem,Chat,4.0,1572,High
183,32,Female,Google Pixel,Billing inquiry,Network problem,Phone,4.0,1970,High
188,37,Other,Roomba Robot Vacuum,Refund request,Product compatibility,Phone,1.0,1670,Low
192,58,Other,GoPro Hero,Product inquiry,Account access,Phone,1.0,1379,Low
194,57,Male,Samsung Soundbar,Billing inquiry,Payment issue,Social media,2.0,1514,Low
197,30,Male,MacBook Pro,Refund request,Delivery problem,Chat,3.0,1652,Medium
198,60,Female,Amazon Echo,Cancellation request,Product setup,Chat,5.0,1476,High
199,66,Other,Canon EOS,Product inquiry,Software bug,Chat,5.0,1783,High
204,43,Female,Google Nest,Cancellation request,Software bug,Phone,3.0,1883,Medium
205,55,Male,Sony Xperia,Refund request,Delivery problem,Phone,1.0,1717,Low
209,62,Other,Nintendo Switch Pro Controller,Technical issue,Delivery problem,Chat,1.0,2011,Low
219,65,Female,Canon EOS,Technical issue,Refund request,Social media,2.0,1414,Low
220,70,Female,Sony Xperia,Billing inquiry,Installation support,Social media,5.0,1600,High
225,35,Female,PlayStation,Technical issue,Product recommendation,Chat,4.0,1957,High
226,53,Female,Apple AirPods,Billing inquiry,Product recommendation,Phone,4.0,1676,High
229,66,Male,Microsoft Xbox Controller,Technical issue,Hardware issue,Social media,2.0,1629,Low
236,40,Male,iPhone,Refund request,Refund request,Phone,3.0,1673,Medium
237,31,Male,Sony Xperia,Product inquiry,Peripheral compatibility,Social media,4.0,1421,High
240,66,Male,Philips Hue Lights,Technical issue,Delivery problem,Social media,5.0,1474,High
241,55,Male,iPhone,Billing inquiry,Product compatibility,Social media,2.0,1381,Low
249,35,Male,Sony PlayStation,Refund request,Product compatibility,Chat,3.0,1417,Medium
250,19,Female,Roomba Robot Vacuum,Technical issue,Product setup,Phone,2.0,1472,Low
259,33,Male,PlayStation,Billing inquiry,Battery life,Social media,5.0,1454,High
262,48,Male,Microsoft Surface,Product inquiry,Hardware issue,Chat,2.0,1335,Low
264,46,Other,Sony Xperia,Refund request,Cancellation request,Social media,3.0,1501,Medium
265,29,Male,LG OLED,Cancellation request,Product compatibility,Chat,2.0,1928,Low
269,64,Other,MacBook Pro,Refund request,Hardware issue,Social media,3.0,1550,Medium
270,63,Male,Xbox,Billing inquiry,Data loss,Phone,1.0,1672,Low
277,39,Female,Autodesk AutoCAD,Billing inquiry,Refund request,Chat,4.0,1989,High
278,21,Other,Apple AirPods,Technical issue,Software bug,Social media,5.0,1522,High
280,33,Male,Bose SoundLink Speaker,Product inquiry,Refund request,Chat,2.0,1552,Low
292,35,Female,Philips Hue Lights,Billing inquiry,Product compatibility,Email,2.0,1337,Low
294,58,Female,Philips Hue Lights,Product inquiry,Cancellation request,Phone,3.0,1799,Medium
296,26,Female,Microsoft Xbox Controller,Billing inquiry,Installation support,Social media,5.0,1588,High
297,24,Male,Apple AirPods,Cancellation request,Cancellation request,Phone,2.0,1790,Low
302,44,Male,Amazon Kindle,Product inquiry,Peripheral compatibility,Phone,1.0,2024,Low
304,53,Female,Amazon Kindle,Cancellation request,Software bug,Chat,5.0,1615,High
306,32,Female,GoPro Action Camera,Refund request,Peripheral compatibility,Social media,2.0,1494,Low
310,53,Male,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,Social media,2.0,1796,Low
311,46,Female,Bose QuietComfort,Refund request,Product setup,Chat,2.0,1846,Low
312,46,Female,Microsoft Xbox Controller,Technical issue,Battery life,Email,1.0,1868,Low
314,30,Female,GoPro Hero,Cancellation request,Payment issue,Email,2.0,1665,Low
317,18,Male,Apple AirPods,Technical issue,Cancellation request,Chat,4.0,1922,High
320,27,Other,Nest Thermostat,Cancellation request,Software bug,Email,4.0,1459,High
322,70,Male,Canon DSLR Camera,Refund request,Battery life,Social media,3.0,1352,Medium
325,52,Female,Microsoft Surface,Refund request,Hardware issue,Phone,4.0,2019,High
329,45,Female,GoPro Hero,Refund request,Product recommendation,Chat,5.0,1386,High
332,21,Male,Fitbit Versa Smartwatch,Technical issue,Delivery problem,Social media,2.0,1937,Low
333,41,Other,Nintendo Switch Pro Controller,Technical issue,Installation support,Phone,2.0,1643,Low
338,45,Male,iPhone,Technical issue,Product compatibility,Social media,3.0,1642,Medium
339,33,Male,Roomba Robot Vacuum,Product inquiry,Data loss,Email,1.0,1990,Low
342,21,Male,Sony PlayStation,Cancellation request,Cancellation request,Chat,5.0,1660,High
344,52,Other,HP Pavilion,Technical issue,Network problem,Phone,3.0,1544,Medium
345,54,Male,Garmin Forerunner,Technical issue,Payment issue,Social media,5.0,1578,High
349,28,Female,LG OLED,Billing inquiry,Battery life,Email,3.0,1849,Medium
350,70,Other,Garmin Forerunner,Cancellation request,Product compatibility,Social media,2.0,1380,Low
352,47,Male,Bose SoundLink Speaker,Refund request,Installation support,Email,2.0,1697,Low
353,52,Male,Nest Thermostat,Cancellation request,Refund request,Chat,4.0,1317,High
356,38,Male,iPhone,Technical issue,Cancellation request,Chat,2.0,1393,Low
360,42,Male,Nintendo Switch Pro Controller,Cancellation request,Network problem,Email,5.0,2010,High
361,50,Other,Bose QuietComfort,Product inquiry,Product compatibility,Chat,4.0,1706,High
364,33,Male,GoPro Action Camera,Cancellation request,Payment issue,Chat,1.0,1412,Low
365,22,Male,Bose QuietComfort,Billing inquiry,Peripheral compatibility,Social media,3.0,2013,Medium
370,24,Male,Roomba Robot Vacuum,Refund request,Account access,Email,2.0,1741,Low
371,39,Other,Amazon Kindle,Cancellation request,Battery life,Email,1.0,1628,Low
372,32,Male,GoPro Action Camera,Refund request,Battery life,Social media,5.0,1372,High
373,24,Other,GoPro Hero,Technical issue,Cancellation request,Phone,1.0,1528,Low
375,30,Female,Lenovo ThinkPad,Product inquiry,Refund request,Phone,1.0,1456,Low
378,42,Other,Nintendo Switch,Refund request,Data loss,Email,4.0,1845,High
380,37,Female,GoPro Hero,Product inquiry,Peripheral compatibility,Email,5.0,1922,High
381,62,Male,Sony PlayStation,Product inquiry,Refund request,Email,4.0,1430,High
383,37,Other,Sony 4K HDR TV,Refund request,Display issue,Social media,3.0,1695,Medium
385,49,Female,Google Nest,Technical issue,Software bug,Chat,4.0,1747,High
386,52,Male,iPhone,Cancellation request,Hardware issue,Email,2.0,1482,Low
387,22,Female,Adobe Photoshop,Billing inquiry,Data loss,Chat,4.0,1703,High
390,19,Other,Bose SoundLink Speaker,Technical issue,Display issue,Phone,4.0,1490,High
394,43,Female,Microsoft Surface,Product inquiry,Refund request,Chat,1.0,1989,Low
395,21,Female,GoPro Action Camera,Technical issue,Delivery problem,Phone,2.0,1685,Low
402,51,Female,Sony 4K HDR TV,Cancellation request,Cancellation request,Social media,3.0,1528,Medium
403,67,Other,Google Nest,Billing inquiry,Installation support,Phone,1.0,1365,Low
404,69,Male,Asus ROG,Cancellation request,Battery life,Social media,2.0,1438,Low
408,49,Female,Dyson Vacuum Cleaner,Product inquiry,Product compatibility,Email,2.0,1966,Low
411,19,Male,Amazon Kindle,Refund request,Hardware issue,Phone,4.0,1544,High
418,47,Female,Garmin Forerunner,Technical issue,Software bug,Chat,2.0,1877,Low
428,35,Male,Philips Hue Lights,Refund request,Hardware issue,Phone,3.0,1934,Medium
429,64,Male,Sony 4K HDR TV,Refund request,Data loss,Chat,1.0,1637,Low
437,69,Female,Canon EOS,Cancellation request,Product setup,Social media,4.0,1565,High
438,57,Other,MacBook Pro,Product inquiry,Delivery problem,Social media,2.0,1538,Low
439,55,Other,LG OLED,Cancellation request,Network problem,Email,2.0,1378,Low
441,39,Male,Amazon Kindle,Technical issue,Data loss,Chat,2.0,1898,Low
443,36,Male,Canon DSLR Camera,Refund request,Delivery problem,Phone,3.0,1568,Medium
444,56,Female,Google Nest,Technical issue,Display issue,Phone,1.0,1717,Low
449,47,Other,Canon DSLR Camera,Refund request,Software bug,Chat,1.0,2011,Low
453,21,Female,Nikon D,Billing inquiry,Account access,Social media,1.0,1589,Low
455,28,Male,Fitbit Versa Smartwatch,Refund request,Cancellation request,Social media,5.0,1607,High
458,58,Male,Amazon Echo,Refund request,Delivery problem,Email,5.0,1851,High
459,40,Female,PlayStation,Product inquiry,Payment issue,Email,1.0,1629,Low
461,52,Other,Google Nest,Billing inquiry,Delivery problem,Email,3.0,1780,Medium
463,51,Other,Canon EOS,Product inquiry,Cancellation request,Social media,2.0,1847,Low
467,19,Female,Microsoft Xbox Controller,Billing inquiry,Delivery problem,Chat,5.0,1929,High
468,38,Female,GoPro Action Camera,Cancellation request,Network problem,Email,2.0,1786,Low
470,65,Other,Nintendo Switch,Refund request,Data loss,Phone,3.0,1564,Medium
472,42,Female,Samsung Soundbar,Cancellation request,Refund request,Phone,4.0,1525,High
474,60,Other,Canon DSLR Camera,Product inquiry,Account access,Social media,1.0,1344,Low
483,37,Other,Amazon Kindle,Technical issue,Product setup,Phone,5.0,1778,High
484,70,Female,Canon DSLR Camera,Technical issue,Data loss,Chat,5.0,1474,High
485,33,Female,Dyson Vacuum Cleaner,Product inquiry,Product compatibility,Phone,5.0,1509,High
492,66,Male,Autodesk AutoCAD,Billing inquiry,Account access,Chat,4.0,1970,High
495,33,Other,Fitbit Charge,Technical issue,Account access,Social media,1.0,1342,Low
496,66,Other,Sony PlayStation,Technical issue,Installation support,Phone,1.0,1735,Low
500,66,Other,Garmin Forerunner,Cancellation request,Product compatibility,Chat,5.0,1811,High
501,59,Female,Canon DSLR Camera,Billing inquiry,Hardware issue,Phone,2.0,1531,Low
503,43,Female,Sony Xperia,Technical issue,Cancellation request,Phone,3.0,1448,Medium
509,40,Male,Asus ROG,Product inquiry,Product compatibility,Chat,5.0,1331,High
511,43,Other,Canon EOS,Product inquiry,Battery life,Phone,2.0,1421,Low
514,62,Other,Amazon Echo,Technical issue,Delivery problem,Chat,1.0,1637,Low
515,54,Male,GoPro Hero,Technical issue,Product recommendation,Phone,2.0,1589,Low
516,55,Male,Dyson Vacuum Cleaner,Billing inquiry,Software bug,Phone,4.0,1983,High
518,21,Female,Nest Thermostat,Product inquiry,Account access,Chat,3.0,1673,Medium
524,38,Other,Nikon D,Refund request,Battery life,Email,3.0,1751,Medium
525,30,Male,Microsoft Office,Refund request,Product setup,Chat,1.0,1692,Low
526,52,Female,Bose QuietComfort,Refund request,Display issue,Social media,1.0,1524,Low
534,48,Other,Sony 4K HDR TV,Technical issue,Account access,Phone,2.0,1712,Low
536,32,Female,Microsoft Xbox Controller,Technical issue,Peripheral compatibility,Phone,3.0,1424,Medium
539,27,Other,Adobe Photoshop,Cancellation request,Cancellation request,Chat,3.0,1586,Medium
543,18,Male,PlayStation,Refund request,Display issue,Email,2.0,1462,Low
555,44,Male,Google Pixel,Billing inquiry,Installation support,Email,5.0,1393,High
558,42,Male,Nikon D,Product inquiry,Peripheral compatibility,Chat,3.0,1862,Medium
561,44,Male,LG OLED,Technical issue,Network problem,Phone,3.0,1908,Medium
564,20,Female,Sony Xperia,Cancellation request,Cancellation request,Phone,5.0,1748,High
567,46,Female,Canon EOS,Billing inquiry,Peripheral compatibility,Phone,1.0,1407,Low
568,44,Female,Samsung Galaxy,Product inquiry,Network problem,Social media,4.0,1687,High
574,25,Female,Adobe Photoshop,Billing inquiry,Network problem,Chat,2.0,1553,Low
575,32,Female,Sony 4K HDR TV,Billing inquiry,Data loss,Email,4.0,1535,High
576,66,Other,Apple AirPods,Product inquiry,Account access,Social media,1.0,1700,Low
580,27,Other,Samsung Galaxy,Cancellation request,Software bug,Social media,2.0,1795,Low
585,24,Male,Microsoft Office,Refund request,Product setup,Chat,2.0,1952,Low
587,52,Male,LG OLED,Refund request,Product recommendation,Phone,2.0,2022,Low
589,44,Female,PlayStation,Technical issue,Data loss,Phone,5.0,1992,High
596,68,Male,LG Smart TV,Cancellation request,Data loss,Phone,3.0,2006,Medium
597,37,Male,Garmin Forerunner,Technical issue,Cancellation request,Phone,4.0,2008,High
598,45,Male,GoPro Action Camera,Technical issue,Account access,Social media,2.0,1478,Low
600,64,Other,Canon DSLR Camera,Billing inquiry,Installation support,Email,4.0,1570,High
603,48,Other,Lenovo ThinkPad,Refund request,Refund request,Email,5.0,1944,High
604,27,Other,Google Pixel,Product inquiry,Installation support,Social media,3.0,1375,Medium
611,19,Female,MacBook Pro,Product inquiry,Network problem,Phone,4.0,1344,High
619,59,Female,Amazon Kindle,Technical issue,Refund request,Email,4.0,1543,High
620,46,Female,Canon EOS,Billing inquiry,Hardware issue,Email,5.0,2025,High
621,39,Other,Sony 4K HDR TV,Product inquiry,Account access,Chat,2.0,1725,Low
627,19,Other,Canon EOS,Billing inquiry,Hardware issue,Email,2.0,1516,Low
635,53,Male,Canon DSLR Camera,Cancellation request,Data loss,Chat,3.0,1437,Medium
640,67,Male,LG Smart TV,Technical issue,Hardware issue,Email,1.0,1561,Low
642,31,Male,Samsung Galaxy,Billing inquiry,Display issue,Phone,2.0,1591,Low
643,53,Female,Microsoft Surface,Cancellation request,Network problem,Email,5.0,1841,High
644,67,Male,MacBook Pro,Refund request,Refund request,Social media,1.0,1982,Low
648,52,Female,PlayStation,Refund request,Cancellation request,Phone,3.0,1973,Medium
654,43,Other,Nest Thermostat,Refund request,Software bug,Email,1.0,1682,Low
656,55,Female,Sony PlayStation,Refund request,Product recommendation,Email,1.0,1574,Low
657,57,Other,Nintendo Switch Pro Controller,Technical issue,Cancellation request,Social media,2.0,1498,Low
662,26,Female,Amazon Echo,Billing inquiry,Data loss,Social media,4.0,1320,High
664,39,Female,Sony Xperia,Product inquiry,Product setup,Social media,3.0,1797,Medium
665,64,Female,Xbox,Cancellation request,Installation support,Social media,2.0,1769,Low
670,63,Other,Sony Xperia,Product inquiry,Delivery problem,Phone,5.0,1778,High
673,28,Female,Nintendo Switch,Product inquiry,Software bug,Email,1.0,1439,Low
678,20,Other,Garmin Forerunner,Cancellation request,Refund request,Social media,3.0,1321,Medium
679,53,Male,Nikon D,Technical issue,Display issue,Phone,5.0,1676,High
683,68,Other,Sony PlayStation,Product inquiry,Product setup,Email,3.0,2038,Medium
684,39,Other,Canon EOS,Technical issue,Data loss,Chat,3.0,1908,Medium
688,28,Female,Sony 4K HDR TV,Product inquiry,Peripheral compatibility,Phone,2.0,1675,Low
690,68,Other,Canon DSLR Camera,Billing inquiry,Display issue,Email,4.0,2044,High
691,41,Other,Canon EOS,Product inquiry,Software bug,Social media,1.0,1722,Low
697,22,Male,Bose QuietComfort,Billing inquiry,Refund request,Social media,5.0,1929,High
699,22,Female,Autodesk AutoCAD,Cancellation request,Peripheral compatibility,Email,1.0,1961,Low
701,63,Other,Sony Xperia,Technical issue,Delivery problem,Chat,5.0,1498,High
703,37,Other,Fitbit Charge,Product inquiry,Refund request,Chat,2.0,1745,Low
704,69,Male,Dell XPS,Refund request,Hardware issue,Chat,3.0,1949,Medium
707,58,Male,Nest Thermostat,Cancellation request,Payment issue,Email,5.0,1379,High
711,26,Other,Fitbit Versa Smartwatch,Technical issue,Delivery problem,Phone,2.0,1683,Low
712,70,Other,LG Washing Machine,Product inquiry,Product recommendation,Email,1.0,1410,Low
714,37,Female,MacBook Pro,Refund request,Data loss,Chat,5.0,1549,High
717,30,Female,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,Phone,2.0,1737,Low
720,68,Other,Adobe Photoshop,Billing inquiry,Installation support,Phone,1.0,1696,Low
722,50,Male,Dell XPS,Technical issue,Battery life,Email,1.0,1794,Low
728,29,Other,LG Washing Machine,Cancellation request,Delivery problem,Social media,2.0,1612,Low
729,50,Female,GoPro Action Camera,Technical issue,Hardware issue,Chat,4.0,1911,High
733,49,Other,Nintendo Switch Pro Controller,Cancellation request,Peripheral compatibility,Chat,4.0,1489,High
734,62,Female,Bose QuietComfort,Technical issue,Product recommendation,Chat,2.0,2008,Low
735,36,Male,Google Nest,Cancellation request,Hardware issue,Chat,1.0,1989,Low
740,45,Male,Sony Xperia,Technical issue,Peripheral compatibility,Email,1.0,1883,Low
743,67,Male,Google Nest,Cancellation request,Refund request,Email,4.0,1830,High
746,37,Male,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,Phone,3.0,2012,Medium
748,47,Other,Microsoft Xbox Controller,Technical issue,Network problem,Email,2.0,1645,Low
752,51,Other,Xbox,Cancellation request,Product compatibility,Phone,5.0,1514,High
754,37,Female,Roomba Robot Vacuum,Product inquiry,Payment issue,Phone,4.0,1875,High
755,26,Other,Philips Hue Lights,Refund request,Installation support,Chat,2.0,1766,Low
760,47,Female,Samsung Soundbar,Technical issue,Product setup,Social media,1.0,1490,Low
763,25,Female,Sony PlayStation,Product inquiry,Cancellation request,Social media,5.0,1906,High
764,37,Female,LG Smart TV,Billing inquiry,Product recommendation,Email,1.0,1444,Low
765,22,Other,iPhone,Refund request,Payment issue,Chat,5.0,1795,High
769,29,Female,Dell XPS,Product inquiry,Hardware issue,Chat,4.0,1833,High
772,49,Male,iPhone,Cancellation request,Account access,Chat,5.0,1875,High
776,27,Female,Canon DSLR Camera,Cancellation request,Product compatibility,Chat,5.0,1883,High
780,19,Female,Sony PlayStation,Refund request,Display issue,Phone,4.0,1796,High
786,35,Other,Bose SoundLink Speaker,Refund request,Product recommendation,Phone,1.0,1825,Low
790,30,Other,LG OLED,Product inquiry,Product recommendation,Phone,4.0,1666,High
791,21,Female,Fitbit Versa Smartwatch,Cancellation request,Software bug,Email,3.0,1946,Medium
795,46,Male,Roomba Robot Vacuum,Refund request,Product recommendation,Chat,1.0,1433,Low
798,57,Male,Google Pixel,Product inquiry,Peripheral compatibility,Social media,3.0,1419,Medium
806,28,Female,Sony 4K HDR TV,Technical issue,Peripheral compatibility,Email,2.0,2014,Low
809,41,Female,Nikon D,Refund request,Product setup,Social media,4.0,1986,High
815,27,Other,Nintendo Switch Pro Controller,Product inquiry,Hardware issue,Social media,4.0,1579,High
818,23,Female,LG Smart TV,Refund request,Product recommendation,Phone,3.0,1704,Medium
821,29,Female,Lenovo ThinkPad,Cancellation request,Hardware issue,Social media,3.0,1480,Medium
827,19,Female,Garmin Forerunner,Product inquiry,Software bug,Email,4.0,1579,High
834,21,Male,GoPro Hero,Refund request,Hardware issue,Chat,4.0,1623,High
838,27,Female,Canon DSLR Camera,Cancellation request,Network problem,Phone,3.0,1548,Medium
840,70,Other,Nintendo Switch Pro Controller,Product inquiry,Product compatibility,Phone,5.0,1648,High
846,49,Female,Autodesk AutoCAD,Billing inquiry,Product compatibility,Phone,4.0,2024,High
850,53,Female,Fitbit Versa Smartwatch,Refund request,Display issue,Email,1.0,2028,Low
852,29,Female,Sony 4K HDR TV,Refund request,Display issue,Email,5.0,1404,High
854,69,Female,Nest Thermostat,Billing inquiry,Battery life,Social media,3.0,1732,Medium
855,67,Female,iPhone,Billing inquiry,Installation support,Social media,2.0,1366,Low
857,52,Other,Roomba Robot Vacuum,Product inquiry,Payment issue,Phone,5.0,1800,High
861,25,Other,GoPro Hero,Refund request,Display issue,Social media,3.0,2036,Medium
862,23,Other,Nest Thermostat,Refund request,Account access,Email,2.0,1662,Low
863,26,Female,Canon EOS,Technical issue,Product compatibility,Chat,1.0,1383,Low
865,30,Female,Asus ROG,Cancellation request,Refund request,Phone,5.0,1976,High
866,33,Male,Canon DSLR Camera,Refund request,Hardware issue,Chat,3.0,1916,Medium
875,48,Female,Bose QuietComfort,Cancellation request,Product recommendation,Phone,3.0,1635,Medium
876,45,Other,Adobe Photoshop,Technical issue,Payment issue,Phone,5.0,1666,High
880,19,Female,Apple AirPods,Billing inquiry,Data loss,Chat,2.0,1687,Low
883,21,Male,Sony 4K HDR TV,Product inquiry,Product recommendation,Email,4.0,1779,High
887,18,Female,Bose SoundLink Speaker,Billing inquiry,Peripheral compatibility,Phone,5.0,1349,High
889,37,Female,Sony Xperia,Technical issue,Product setup,Social media,2.0,1620,Low
892,33,Female,LG Washing Machine,Technical issue,Software bug,Phone,4.0,1751,High
894,35,Other,Microsoft Surface,Refund request,Product setup,Phone,2.0,1957,Low
895,69,Female,Sony Xperia,Billing inquiry,Cancellation request,Social media,5.0,1699,High
896,30,Other,Google Nest,Cancellation request,Data loss,Chat,5.0,1435,High
897,32,Male,Bose QuietComfort,Technical issue,Network problem,Phone,4.0,1376,High
903,29,Female,Nest Thermostat,Billing inquiry,Account access,Chat,3.0,1388,Medium
907,54,Male,Bose SoundLink Speaker,Cancellation request,Hardware issue,Phone,2.0,1894,Low
911,25,Female,Garmin Forerunner,Refund request,Network problem,Social media,2.0,1580,Low
913,29,Other,Nest Thermostat,Product inquiry,Battery life,Social media,4.0,2030,High
917,34,Female,Garmin Forerunner,Cancellation request,Display issue,Chat,2.0,1728,Low
919,48,Female,Asus ROG,Technical issue,Peripheral compatibility,Email,4.0,1960,High
922,43,Male,Asus ROG,Product inquiry,Delivery problem,Social media,3.0,1946,Medium
926,47,Female,Autodesk AutoCAD,Billing inquiry,Payment issue,Chat,4.0,1823,High
929,46,Female,Samsung Galaxy,Billing inquiry,Hardware issue,Phone,1.0,1953,Low
933,60,Male,LG OLED,Technical issue,Hardware issue,Phone,1.0,1632,Low
937,58,Male,Philips Hue Lights,Product inquiry,Product compatibility,Phone,5.0,2001,High
938,53,Female,Microsoft Surface,Technical issue,Peripheral compatibility,Social media,3.0,1565,Medium
939,41,Male,Google Nest,Cancellation request,Delivery problem,Chat,2.0,1697,Low
944,63,Male,Philips Hue Lights,Cancellation request,Account access,Email,5.0,1955,High
949,50,Other,Nest Thermostat,Technical issue,Payment issue,Email,4.0,1631,High
950,64,Other,Microsoft Surface,Cancellation request,Network problem,Chat,3.0,1455,Medium
953,24,Other,Adobe Photoshop,Product inquiry,Display issue,Phone,5.0,1617,High
954,30,Female,LG OLED,Cancellation request,Product recommendation,Chat,3.0,1789,Medium
955,20,Female,Bose SoundLink Speaker,Cancellation request,Hardware issue,Phone,5.0,1681,High
956,64,Other,Sony Xperia,Product inquiry,Network problem,Social media,1.0,1605,Low
959,65,Other,Asus ROG,Product inquiry,Battery life,Email,1.0,1715,Low
